BEGIN_DATE,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,visibility,conditions,description,Sum_Crashes,Sum_Fatalities,text
3/18/2017,55.5,78.8,0,0,0,35.1,27.9,51.7,9.9,Partially cloudy,Partly cloudy throughout the day.,443,443,Partly cloudy throughout the day.
3/19/2017,49.2,72.9,0,0,0,32.2,23.1,56.1,9.9,Partially cloudy,Partly cloudy throughout the day.,444,444,Partly cloudy throughout the day.
3/20/2017,50.1,72.9,0,0,0,32.2,22.4,57.3,9.9,Partially cloudy,Partly cloudy throughout the day.,445,445,Partly cloudy throughout the day.
3/21/2017,61.3,73.9,0,0,0,36.8,25.9,58.1,9.9,Partially cloudy,Partly cloudy throughout the day.,446,446,Partly cloudy throughout the day.
3/22/2017,51.1,60.8,0.1,0,0,24.1,19.3,67.9,9.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,447,447,Partly cloudy throughout the day with rain.
3/23/2017,34.1,49.9,2.04,0,0,,16.9,69.6,7.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,448,448,Partly cloudy throughout the day with a chance of rain throughout the day.
3/24/2017,35,57.7,0,0,0,20.8,17,31.3,9.8,Partially cloudy,Partly cloudy throughout the day.,449,449,Partly cloudy throughout the day.
3/25/2017,40.8,54.8,0.51,0,0,,14.8,71.3,8.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,450,450,Partly cloudy throughout the day with rain.
3/26/2017,34,53.8,0,0,0,,9.2,52.3,9.5,Partially cloudy,Partly cloudy throughout the day.,451,451,Partly cloudy throughout the day.
3/27/2017,42.2,49.8,0.39,0,0,,15.9,70,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,452,452,Partly cloudy throughout the day with a chance of rain throughout the day.
3/28/2017,38.1,53.8,0,0,0,34.4,20.3,45,9.9,Partially cloudy,Partly cloudy throughout the day.,453,453,Partly cloudy throughout the day.
3/29/2017,36.2,56.9,0,0,0,,8.1,27.8,9.9,Partially cloudy,Partly cloudy throughout the day.,454,454,Partly cloudy throughout the day.
3/30/2017,44,52,0.11,0,0,39.1,19.2,66.1,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,455,455,Partly cloudy throughout the day with rain.
3/31/2017,42.1,55.1,0,0,0,34.7,15.8,67.1,9.9,Partially cloudy,Partly cloudy throughout the day.,456,456,Partly cloudy throughout the day.
4/1/2017,47.8,59.8,0,0,0,35.5,19.5,35.3,9.9,Partially cloudy,Partly cloudy throughout the day.,457,457,Partly cloudy throughout the day.
4/2/2017,44.2,51.1,0.08,0,0,,15.8,59.4,9.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,458,458,Partly cloudy throughout the day with afternoon rain.
4/3/2017,35.4,50,0,0,0,18.3,15.5,40.2,9.9,Partially cloudy,Partly cloudy throughout the day.,459,459,Partly cloudy throughout the day.
4/4/2017,33.9,48.6,0,0,0,31.1,16.1,43.7,9.9,Partially cloudy,Partly cloudy throughout the day.,460,460,Partly cloudy throughout the day.
4/5/2017,33.9,60,0,0,0,,9.6,44.3,9.9,Partially cloudy,Partly cloudy throughout the day.,461,461,Partly cloudy throughout the day.
4/6/2017,46,74.7,0,0,0,41.3,21.4,50.3,9.9,Partially cloudy,Partly cloudy throughout the day.,462,462,Partly cloudy throughout the day.
4/7/2017,55,70,0,0,0,42.5,28.3,69.7,9.9,Partially cloudy,Partly cloudy throughout the day.,463,463,Partly cloudy throughout the day.
4/8/2017,35,57.7,0.84,1.48,1.48,40.9,28.6,68.9,8.7,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,464,464,Partly cloudy throughout the day with snow.
4/9/2017,33.2,46,0.25,0.89,2.37,26.4,16.7,55.8,8.5,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,465,465,Partly cloudy throughout the day with a chance of snow throughout the day.
4/10/2017,35.6,60,0,0,0.79,21.9,13.7,29.8,9.9,Partially cloudy,Partly cloudy throughout the day.,466,466,Partly cloudy throughout the day.
4/11/2017,38.4,58.2,0,0,0,24.2,12,60.9,9.9,Partially cloudy,Partly cloudy throughout the day.,467,467,Partly cloudy throughout the day.
4/12/2017,46.2,73.9,0,0,0,25.3,19.1,27.3,9.9,Partially cloudy,Partly cloudy throughout the day.,468,468,Partly cloudy throughout the day.
4/13/2017,45.9,79.7,0,0,0,50.5,35.6,26.2,9.9,Partially cloudy,Partly cloudy throughout the day.,469,469,Partly cloudy throughout the day.
4/14/2017,42.9,54.9,0,0,0,18.3,14.6,68.2,9.9,Partially cloudy,Partly cloudy throughout the day.,470,470,Partly cloudy throughout the day.
4/15/2017,37,55.8,0,0,0,17.2,15.2,26.9,9.9,Partially cloudy,Partly cloudy throughout the day.,471,471,Partly cloudy throughout the day.
4/16/2017,42.9,68.8,0,0,0,23,11.5,59,9.9,Partially cloudy,Partly cloudy throughout the day.,472,472,Partly cloudy throughout the day.
4/17/2017,56.8,69.7,0,0,0,27.7,19.4,53.7,9.9,Partially cloudy,Partly cloudy throughout the day.,473,473,Partly cloudy throughout the day.
4/18/2017,44.9,60.9,0.59,0,0,34.3,23.7,67.2,9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,474,474,Partly cloudy throughout the day with rain.
4/19/2017,44.8,60.8,0.06,0,0,,12.2,52,9.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,475,475,Partly cloudy throughout the day with rain clearing later.
4/20/2017,43,54.8,0.27,0,0,35.3,22.4,54.2,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,476,476,Partly cloudy throughout the day with rain.
4/21/2017,39.7,53.8,0.06,0,0,17.2,13.4,49.1,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,477,477,Partly cloudy throughout the day with early morning rain.
4/22/2017,37.9,63.9,0,0,0,19.7,12.3,40.4,9.9,Partially cloudy,Partly cloudy throughout the day.,478,478,Partly cloudy throughout the day.
4/23/2017,48.8,65.6,0,0,0,31.1,20.2,52,9.9,Partially cloudy,Partly cloudy throughout the day.,479,479,Partly cloudy throughout the day.
4/24/2017,44.7,55,0.12,0,0,28.9,16,61.5,9.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,480,480,Partly cloudy throughout the day with rain.
4/25/2017,39.9,51.1,0.51,0,0,20.9,17.1,66.2,9.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,481,481,Partly cloudy throughout the day with a chance of rain throughout the day.
4/26/2017,42.1,57.5,0.09,0,0,,11.3,75.2,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,482,482,Partly cloudy throughout the day with late afternoon rain.
4/27/2017,40.1,49.8,0.17,0,0,33.3,22.3,68.2,9.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,483,483,Partly cloudy throughout the day with early morning rain.
4/28/2017,35.8,45.8,0.06,0,0,29.8,20.4,72.9,9.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,484,484,Partly cloudy throughout the day with rain.
4/29/2017,36.4,55.8,0,0,0,28.9,18.1,42,9.9,Partially cloudy,Partly cloudy throughout the day.,485,485,Partly cloudy throughout the day.
4/30/2017,38.6,61.9,0,0,0,,12.8,52.4,9.9,Partially cloudy,Partly cloudy throughout the day.,486,486,Partly cloudy throughout the day.
5/1/2017,48.8,62.8,0,0,0,21.9,12.8,52.1,9.9,Partially cloudy,Partly cloudy throughout the day.,487,487,Partly cloudy throughout the day.
5/2/2017,51.1,64.8,0,0,0,24.2,13.8,61,9.9,Partially cloudy,Partly cloudy throughout the day.,488,488,Partly cloudy throughout the day.
5/3/2017,44.7,68.8,0,0,0,,10.7,33.8,9.9,Partially cloudy,Partly cloudy throughout the day.,489,489,Partly cloudy throughout the day.
5/4/2017,46.9,76.7,0,0,0,24.2,9.1,5.1,9.9,Clear,Clear conditions throughout the day.,490,490,Clear conditions throughout the day.
5/5/2017,53,87.7,0,0,0,19.7,12.5,21.9,9.9,Partially cloudy,Partly cloudy throughout the day.,491,491,Partly cloudy throughout the day.
5/6/2017,65.1,83.3,0,0,0,47.2,20.6,48.9,9.9,Partially cloudy,Partly cloudy throughout the day.,492,492,Partly cloudy throughout the day.
5/7/2017,60.3,77.6,0,0,0,29.9,17.4,55,9.9,Partially cloudy,Partly cloudy throughout the day.,493,493,Partly cloudy throughout the day.
5/8/2017,55.9,70.7,0,0,0,21.9,15.7,47.9,9.9,Partially cloudy,Partly cloudy throughout the day.,494,494,Partly cloudy throughout the day.
5/9/2017,53.8,74.6,0,0,0,23,16.9,28.3,9.9,Partially cloudy,Partly cloudy throughout the day.,495,495,Partly cloudy throughout the day.
5/10/2017,55.5,75.5,0,0,0,32.2,15.7,32.1,9.9,Partially cloudy,Partly cloudy throughout the day.,496,496,Partly cloudy throughout the day.
5/11/2017,54.9,83.5,0,0,0,,13.7,20.9,9.9,Partially cloudy,Partly cloudy throughout the day.,497,497,Partly cloudy throughout the day.
5/12/2017,58.5,86.8,0,0,0,43.7,28.6,22.5,9.9,Partially cloudy,Partly cloudy throughout the day.,498,498,Partly cloudy throughout the day.
5/13/2017,45.7,58.7,0,0,0,28.2,17.9,30.8,9.9,Partially cloudy,Partly cloudy throughout the day.,499,499,Partly cloudy throughout the day.
5/14/2017,42.2,66.7,0,0,0,,14.1,45.1,9.9,Partially cloudy,Partly cloudy throughout the day.,500,500,Partly cloudy throughout the day.
5/15/2017,48.1,68.8,0,0,0,33.2,18.8,43.3,9.9,Partially cloudy,Partly cloudy throughout the day.,501,501,Partly cloudy throughout the day.
5/16/2017,52.8,62,0.03,0.74,0.74,32.2,16.6,67.4,9.9,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,502,502,Partly cloudy throughout the day with afternoon snow.
5/17/2017,34.1,57.4,0.3,0.44,1.18,42.2,29.7,61.2,9.1,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,503,503,Partly cloudy throughout the day with snow clearing later.
5/18/2017,37.6,51,0,0,0,24.2,12.4,66.7,9.9,Partially cloudy,Partly cloudy throughout the day.,504,504,Partly cloudy throughout the day.
5/19/2017,46.6,58.9,0,0,0,20.8,9.9,56.5,9.9,Partially cloudy,Partly cloudy throughout the day.,505,505,Partly cloudy throughout the day.
5/20/2017,43.9,69.8,0,0,0,17.2,12.2,28.8,9.9,Partially cloudy,Partly cloudy throughout the day.,506,506,Partly cloudy throughout the day.
5/21/2017,53.8,65.7,0.2,0,0,,16.9,51.6,9.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,507,507,Partly cloudy throughout the day with rain in the morning and afternoon.
5/22/2017,50.7,74.7,0,0,0,18.3,14.5,33.8,9.9,Partially cloudy,Partly cloudy throughout the day.,508,508,Partly cloudy throughout the day.
5/23/2017,56.5,80.7,0,0,0,24.2,13.2,37.1,9.9,Partially cloudy,Partly cloudy throughout the day.,509,509,Partly cloudy throughout the day.
5/24/2017,60.8,87.7,0,0,0,48.6,21.2,32.8,9.9,Partially cloudy,Partly cloudy throughout the day.,510,510,Partly cloudy throughout the day.
5/25/2017,57.2,69.5,0,0,0,34.4,23.3,45.4,9.9,Partially cloudy,Partly cloudy throughout the day.,511,511,Partly cloudy throughout the day.
5/26/2017,52.7,67.6,0,0,0,25.3,16.8,33.4,9.9,Partially cloudy,Partly cloudy throughout the day.,512,512,Partly cloudy throughout the day.
5/27/2017,46.4,69.7,0,0,0,20.8,13.6,18.7,9.9,Clear,Clear conditions throughout the day.,513,513,Clear conditions throughout the day.
5/28/2017,50.9,77.6,0,0,0,26.4,9.2,10.2,9.9,Clear,Clear conditions throughout the day.,514,514,Clear conditions throughout the day.
5/29/2017,54.6,83.3,0,0,0,27.7,11.1,11.2,9.9,Clear,Clear conditions throughout the day.,515,515,Clear conditions throughout the day.
5/30/2017,61.3,89.6,0,0,0,26.4,10.1,13.2,9.9,Clear,Clear conditions throughout the day.,516,516,Clear conditions throughout the day.
5/31/2017,66.2,91.8,0,0,0,41.4,19.1,33.5,9.9,Partially cloudy,Partly cloudy throughout the day.,517,517,Partly cloudy throughout the day.
6/1/2017,69.3,83.6,0.12,0,0,36.8,23.5,56,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,518,518,Partly cloudy throughout the day with late afternoon rain.
6/2/2017,59.5,79.6,0,0,0,,13.7,28.4,9.9,Partially cloudy,Partly cloudy throughout the day.,519,519,Partly cloudy throughout the day.
6/3/2017,57.2,89.7,0,0,0,26.4,12.4,44.1,9.9,Partially cloudy,Partly cloudy throughout the day.,520,520,Partly cloudy throughout the day.
6/4/2017,68.9,96.7,0,0,0,35.6,16.9,51.9,9.9,Partially cloudy,Partly cloudy throughout the day.,521,521,Partly cloudy throughout the day.
6/5/2017,67.4,86.5,0,0,0,,13.9,27,9.9,Partially cloudy,Partly cloudy throughout the day.,522,522,Partly cloudy throughout the day.
6/6/2017,64.3,93.2,0,0,0,30,14.1,24.7,9.9,Partially cloudy,Partly cloudy throughout the day.,523,523,Partly cloudy throughout the day.
6/7/2017,73.3,97.5,0,0,0,31.1,20.3,33.7,9.9,Partially cloudy,Clearing in the afternoon.,524,524,Clearing in the afternoon.
6/8/2017,73,94.5,0,0,0,39.6,25.1,40.3,9.9,Partially cloudy,Partly cloudy throughout the day.,525,525,Partly cloudy throughout the day.
6/9/2017,59.8,87,0,0,0,40.8,29.1,34.2,9.9,Partially cloudy,Partly cloudy throughout the day.,526,526,Partly cloudy throughout the day.
6/10/2017,54.7,78.6,0,0,0,24.1,20.1,32.4,9.9,Partially cloudy,Partly cloudy throughout the day.,527,527,Partly cloudy throughout the day.
6/11/2017,56.6,90.6,0,0,0,39.2,28.2,45.3,9.9,Partially cloudy,Becoming cloudy in the afternoon.,528,528,Becoming cloudy in the afternoon.
6/12/2017,57.3,78.8,0,0,0,44.8,26.7,50.9,9.9,Partially cloudy,Partly cloudy throughout the day.,529,529,Partly cloudy throughout the day.
6/13/2017,49.8,69.4,0.14,0,0,,13.8,57.1,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,530,530,Partly cloudy throughout the day with rain clearing later.
6/14/2017,52.6,78.5,0,0,0,18.3,9.9,22.4,9.9,Partially cloudy,Partly cloudy throughout the day.,531,531,Partly cloudy throughout the day.
6/15/2017,57.7,87.5,0,0,0,23,14.4,53.3,9.9,Partially cloudy,Partly cloudy throughout the day.,532,532,Partly cloudy throughout the day.
6/16/2017,62.5,90.5,0,0,0,19.7,10.9,38.8,9.9,Partially cloudy,Partly cloudy throughout the day.,533,533,Partly cloudy throughout the day.
6/17/2017,65.7,80.5,0,0,0,20.8,16.3,43.4,9.9,Partially cloudy,Partly cloudy throughout the day.,534,534,Partly cloudy throughout the day.
6/18/2017,61.6,84.4,0,0,0,19.7,14.1,18.4,9.9,Clear,Clear conditions throughout the day.,535,535,Clear conditions throughout the day.
6/19/2017,65.4,92.4,0,0,0,,12.1,9.8,9.9,Clear,Clear conditions throughout the day.,536,536,Clear conditions throughout the day.
6/20/2017,73.7,100.2,0,0,0,33.3,15.4,23.7,9.8,Partially cloudy,Partly cloudy throughout the day.,537,537,Partly cloudy throughout the day.
6/21/2017,71.3,98.4,0,0,0,29.8,13.7,33,9.9,Partially cloudy,Partly cloudy throughout the day.,538,538,Partly cloudy throughout the day.
6/22/2017,66.4,86.7,0,0,0,19.7,15.5,12.7,9.9,Clear,Clear conditions throughout the day.,539,539,Clear conditions throughout the day.
6/23/2017,60.5,85.4,0,0,0,,14.4,0,9.9,Clear,Clear conditions throughout the day.,540,540,Clear conditions throughout the day.
6/24/2017,61.7,87.6,0,0,0,27.7,11.2,0,9.9,Clear,Clear conditions throughout the day.,541,541,Clear conditions throughout the day.
6/25/2017,63.6,92.5,0,0,0,28.9,9.9,8.2,9.9,Clear,Clear conditions throughout the day.,542,542,Clear conditions throughout the day.
6/26/2017,69.7,98.5,0,0,0,31.1,15.1,29.2,9.9,Partially cloudy,Partly cloudy throughout the day.,543,543,Partly cloudy throughout the day.
6/27/2017,72.7,89.5,0,0,0,28.9,17.1,32.3,9.8,Partially cloudy,Partly cloudy throughout the day.,544,544,Partly cloudy throughout the day.
6/28/2017,65.9,89.6,0,0,0,21.9,14.9,14.2,9.9,Clear,Clear conditions throughout the day.,545,545,Clear conditions throughout the day.
6/29/2017,64.5,84.6,0,0,0,24.2,16.9,17.7,9.9,Clear,Clear conditions throughout the day.,546,546,Clear conditions throughout the day.
6/30/2017,60.8,84.6,0,0,0,28.9,10.5,14.4,9.9,Clear,Clear conditions throughout the day.,547,547,Clear conditions throughout the day.
7/1/2017,62.3,93.3,0,0,0,27.7,11.1,23.2,9.9,Partially cloudy,Partly cloudy throughout the day.,548,548,Partly cloudy throughout the day.
7/2/2017,69.6,96.6,0,0,0,28.9,12.9,52.4,9.9,Partially cloudy,Partly cloudy throughout the day.,549,549,Partly cloudy throughout the day.
7/3/2017,74.4,97.5,0,0,0,29.2,17.9,41.8,9.9,Partially cloudy,Clearing in the afternoon.,550,550,Clearing in the afternoon.
7/4/2017,71.7,100.5,0,0,0,26.4,12.3,22.1,9.9,Partially cloudy,Partly cloudy throughout the day.,551,551,Partly cloudy throughout the day.
7/5/2017,75.3,103.1,0,0,0,36.8,26.2,25.6,9.9,Partially cloudy,Partly cloudy throughout the day.,552,552,Partly cloudy throughout the day.
7/6/2017,72.9,100.5,0,0,0,25.3,13.6,32.1,9.9,Partially cloudy,Partly cloudy throughout the day.,553,553,Partly cloudy throughout the day.
7/7/2017,74.2,101.4,0,0,0,32.2,15.6,31.2,9.9,Partially cloudy,Partly cloudy throughout the day.,554,554,Partly cloudy throughout the day.
7/8/2017,77.3,102.2,0,0,0,43.3,24.5,45.3,9.8,Partially cloudy,Partly cloudy throughout the day.,555,555,Partly cloudy throughout the day.
7/9/2017,76.5,99.7,0,0,0,31.1,14.4,57.3,9.9,Partially cloudy,Partly cloudy throughout the day.,556,556,Partly cloudy throughout the day.
7/10/2017,79.4,95.6,0,0,0,,13.6,52.2,9.9,Partially cloudy,Partly cloudy throughout the day.,557,557,Partly cloudy throughout the day.
7/11/2017,78.5,93.3,0,0,0,24.2,17.9,49.4,9.9,Partially cloudy,Partly cloudy throughout the day.,558,558,Partly cloudy throughout the day.
7/12/2017,75.1,95.6,0,0,0,24.2,14.8,39.3,9.9,Partially cloudy,Partly cloudy throughout the day.,559,559,Partly cloudy throughout the day.
7/13/2017,74,98.4,0,0,0,24.2,12.4,33.3,9.9,Partially cloudy,Partly cloudy throughout the day.,560,560,Partly cloudy throughout the day.
7/14/2017,73.6,97.4,0,0,0,36.9,15.2,36.4,9.9,Partially cloudy,Partly cloudy throughout the day.,561,561,Partly cloudy throughout the day.
7/15/2017,72.5,100.4,0,0,0,25.4,16.1,21.5,9.9,Partially cloudy,Partly cloudy throughout the day.,562,562,Partly cloudy throughout the day.
7/16/2017,77.3,98.4,0,0,0,27.4,17.7,45.7,9.9,Partially cloudy,Partly cloudy throughout the day.,563,563,Partly cloudy throughout the day.
7/17/2017,76.5,96.6,0,0,0,36,14.2,43.6,9.9,Partially cloudy,Partly cloudy throughout the day.,564,564,Partly cloudy throughout the day.
7/18/2017,73.9,99.5,0,0,0,21.7,13.8,33.5,9.9,Partially cloudy,Partly cloudy throughout the day.,565,565,Partly cloudy throughout the day.
7/19/2017,79.5,94.6,0.01,0,0,37.9,21.5,57.7,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,566,566,Partly cloudy throughout the day with early morning rain.
7/20/2017,77.5,95.5,0,0,0,36.8,23.7,49.8,9.9,Partially cloudy,Partly cloudy throughout the day.,567,567,Partly cloudy throughout the day.
7/21/2017,77.8,95.7,0,0,0,27.7,18.4,33.5,9.9,Partially cloudy,Partly cloudy throughout the day.,568,568,Partly cloudy throughout the day.
7/22/2017,75.4,97.4,0,0,0,27.7,12.6,26.6,9.9,Partially cloudy,Partly cloudy throughout the day.,569,569,Partly cloudy throughout the day.
7/23/2017,71.5,96.3,0,0,0,21.9,15.3,42.3,9.9,Partially cloudy,Partly cloudy throughout the day.,570,570,Partly cloudy throughout the day.
7/24/2017,74.3,96.7,0.01,0,0,20.8,15.6,47.8,9.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,571,571,Partly cloudy throughout the day with late afternoon rain.
7/25/2017,68.8,84.1,0.02,0,0,30,16.3,61.2,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,572,572,Partly cloudy throughout the day with morning rain.
7/26/2017,65.8,88.5,0.44,0,0,44.9,21.8,52.6,9.7,"Rain, Partially cloudy",Clearing in the afternoon with rain.,573,573,Clearing in the afternoon with rain.
7/27/2017,66.4,90.7,0,0,0,,11,29.2,9.9,Partially cloudy,Partly cloudy throughout the day.,574,574,Partly cloudy throughout the day.
7/28/2017,69,89.6,0.01,0,0,33.3,14,34,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,575,575,Partly cloudy throughout the day with rain in the morning and afternoon.
7/29/2017,68.7,94.5,0,0,0,,12.1,22,9.9,Partially cloudy,Partly cloudy throughout the day.,576,576,Partly cloudy throughout the day.
7/30/2017,71.1,94.8,0,0,0,20.8,15.6,29.3,9.9,Partially cloudy,Partly cloudy throughout the day.,577,577,Partly cloudy throughout the day.
7/31/2017,69.8,97.8,0,0,0,27.7,14.9,25.8,9.9,Partially cloudy,Partly cloudy throughout the day.,578,578,Partly cloudy throughout the day.
8/1/2017,70.7,99.6,0,0,0,31.1,15.7,12.4,9.9,Clear,Clear conditions throughout the day.,579,579,Clear conditions throughout the day.
8/2/2017,72.7,98.5,0,0,0,19.7,13.6,27.5,9.9,Partially cloudy,Partly cloudy throughout the day.,580,580,Partly cloudy throughout the day.
8/3/2017,76.5,98.6,0,0,0,25.3,10.7,27.4,9.9,Partially cloudy,Clearing in the afternoon.,581,581,Clearing in the afternoon.
8/4/2017,76.6,96.4,0,0,0,32.2,21.4,29.8,9.9,Partially cloudy,Partly cloudy throughout the day.,582,582,Partly cloudy throughout the day.
8/5/2017,75.4,95.7,0,0,0,35.1,21.4,34.6,9.9,Partially cloudy,Partly cloudy throughout the day.,583,583,Partly cloudy throughout the day.
8/6/2017,68,90.6,0,0,0,28.9,19.9,50.1,9.7,Partially cloudy,Partly cloudy throughout the day.,584,584,Partly cloudy throughout the day.
8/7/2017,70.7,87.5,0,0,0,25.3,14.7,53.4,9.9,Partially cloudy,Partly cloudy throughout the day.,585,585,Partly cloudy throughout the day.
8/8/2017,69.6,86.6,0,0,0,24.1,17.8,49.7,9.9,Partially cloudy,Partly cloudy throughout the day.,586,586,Partly cloudy throughout the day.
8/9/2017,69.1,87.5,0,0,0,31.7,18.8,47.7,9.9,Partially cloudy,Partly cloudy throughout the day.,587,587,Partly cloudy throughout the day.
8/10/2017,66.2,89.4,0,0,0,30,12.3,36.9,9.9,Partially cloudy,Clearing in the afternoon.,588,588,Clearing in the afternoon.
8/11/2017,71.2,94.4,0.02,0,0,34.4,14.5,38.9,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,589,589,Partly cloudy throughout the day with early morning rain.
8/12/2017,73.4,95.4,0,0,0,36.2,26.2,39.2,9.9,Partially cloudy,Partly cloudy throughout the day.,590,590,Partly cloudy throughout the day.
8/13/2017,70.9,90.5,0.07,0,0,34.3,21.5,50.9,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,591,591,Partly cloudy throughout the day with rain.
8/14/2017,67.7,83.1,0,0,0,33.3,25,43.7,9.8,Partially cloudy,Partly cloudy throughout the day.,592,592,Partly cloudy throughout the day.
8/15/2017,60.1,81.7,0,0,0,17.2,12.6,37.4,9.9,Partially cloudy,Partly cloudy throughout the day.,593,593,Partly cloudy throughout the day.
8/16/2017,59.7,88.5,0,0,0,,9.4,30.2,9.8,Partially cloudy,Partly cloudy throughout the day.,594,594,Partly cloudy throughout the day.
8/17/2017,66.5,90.6,0,0,0,25.3,14.5,21.9,9.9,Partially cloudy,Partly cloudy throughout the day.,595,595,Partly cloudy throughout the day.
8/18/2017,65.3,91.5,0,0,0,24.2,13.7,12.2,9.9,Clear,Clear conditions throughout the day.,596,596,Clear conditions throughout the day.
8/19/2017,64.8,94.4,0,0,0,,11.4,27.5,9.9,Partially cloudy,Partly cloudy throughout the day.,597,597,Partly cloudy throughout the day.
8/20/2017,69.5,94.5,0,0,0,20.8,11.8,29.1,9.9,Partially cloudy,Partly cloudy throughout the day.,598,598,Partly cloudy throughout the day.
8/21/2017,68.9,91.5,0,0,0,16.1,9.4,27.5,9.9,Partially cloudy,Partly cloudy throughout the day.,599,599,Partly cloudy throughout the day.
8/22/2017,71.4,89.4,0,0,0,28.9,18.3,45.5,9.9,Partially cloudy,Partly cloudy throughout the day.,600,600,Partly cloudy throughout the day.
8/23/2017,69.6,88.4,0,0,0,19.7,13.6,42,9.9,Partially cloudy,Partly cloudy throughout the day.,601,601,Partly cloudy throughout the day.
8/24/2017,68.5,90.2,0,0,0,21.9,15.5,29,9.9,Partially cloudy,Partly cloudy throughout the day.,602,602,Partly cloudy throughout the day.
8/25/2017,69.4,92.8,0,0,0,27.7,15.1,26.6,9.9,Partially cloudy,Clearing in the afternoon.,603,603,Clearing in the afternoon.
8/26/2017,72.4,96.5,0,0,0,24.2,13.3,36.4,9.9,Partially cloudy,Partly cloudy throughout the day.,604,604,Partly cloudy throughout the day.
8/27/2017,67.5,96.7,0,0,0,19.7,13.4,11.2,9.9,Clear,Clear conditions throughout the day.,605,605,Clear conditions throughout the day.
8/28/2017,67.5,96.7,0,0,0,26.4,11.2,22.1,9.9,Partially cloudy,Partly cloudy throughout the day.,606,606,Partly cloudy throughout the day.
8/29/2017,71.4,97.6,0,0,0,33.3,12,36.8,9.9,Partially cloudy,Clearing in the afternoon.,607,607,Clearing in the afternoon.
8/30/2017,74.3,92.6,0,0,0,40.9,24.2,53.3,9.9,Partially cloudy,Partly cloudy throughout the day.,608,608,Partly cloudy throughout the day.
8/31/2017,71.5,84.8,0,0,0,20.8,15.5,47.5,9.9,Partially cloudy,Partly cloudy throughout the day.,609,609,Partly cloudy throughout the day.
9/1/2017,66.6,89.6,0,0,0,,11.3,12.3,9.9,Clear,Clear conditions throughout the day.,610,610,Clear conditions throughout the day.
9/2/2017,64.7,93.4,0,0,0,28.9,12.4,8.2,9.9,Clear,Clear conditions throughout the day.,611,611,Clear conditions throughout the day.
9/3/2017,67.9,96.6,0,0,0,,10.2,11.4,9.9,Clear,Clear conditions throughout the day.,612,612,Clear conditions throughout the day.
9/4/2017,66.5,96.5,0,0,0,,14.4,10.8,9.9,Clear,Clear conditions throughout the day.,613,613,Clear conditions throughout the day.
9/5/2017,67.9,94.6,0,0,0,36.9,14.7,21.1,8.4,Partially cloudy,Partly cloudy throughout the day.,614,614,Partly cloudy throughout the day.
9/6/2017,66.5,93.4,0,0,0,24.2,10,5.1,6.6,Clear,Clear conditions throughout the day.,615,615,Clear conditions throughout the day.
9/7/2017,67.8,91.5,0,0,0,24.2,16.7,21.8,8.7,Partially cloudy,Partly cloudy throughout the day.,616,616,Partly cloudy throughout the day.
9/8/2017,71,89,0,0,0,34.4,17.2,51.2,9.9,Partially cloudy,Partly cloudy throughout the day.,617,617,Partly cloudy throughout the day.
9/9/2017,66.7,79.7,0.01,0,0,27.7,14.7,49.6,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,618,618,Partly cloudy throughout the day with afternoon rain.
9/10/2017,63.7,85.6,0,0,0,,10.9,26.5,9.9,Partially cloudy,Partly cloudy throughout the day.,619,619,Partly cloudy throughout the day.
